"Code","Taxa","Description","CF_calc","CF_max","CF_min","CF_n","match_notes","calc_notes","mean_EUMOFA","max_EUMOFA","min_EUMOFA","n_EUMOFA","CF_live_to_commod"
30617,"farfantepenaeus notialis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"haliporoides diomedeae","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"haliporoides triarthrus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"heterocarpus reedi","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"litopenaeus occidentalis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"litopenaeus schmitti","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"litopenaeus setiferus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"litopenaeus stylirostris","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"litopenaeus vannamei","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"marsupenaeus japonicus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.29,1.05,1.05,1,"loose_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"melicertus kerathurus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"melicertus latisulcatus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"metapenaeus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.33714285714286,1.38,1.38,1,"full_match","assign",1.34,1.66,1,6,0.72463768115942
