"Code","SciName","Match_category","HS_version","Description","Modification","sciname_habitat","code_habitat"
30617,"litopenaeus schmitti","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"litopenaeus setiferus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"litopenaeus stylirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"litopenaeus vannamei","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"marsupenaeus japonicus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"melicertus kerathurus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"melicertus latisulcatus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"metapenaeus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"metapenaeus endeavouri","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"metapenaeus ensis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"metapenaeus joyneri","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"metapenaeus monoceros","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"nematopalaemon schmitti","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"palaemon adspersus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"palaemon longirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","diadromous","marine.diadromous"
30617,"palaemon serratus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"palaemonetes varians","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"parapenaeopsis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"parapenaeopsis atlantica","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"parapenaeus longirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"pasiphaea tarda","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeidae","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"penaeus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"penaeus chinensis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeus indicus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeus merguiensis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeus monodon","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeus penicillatus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"penaeus semisulcatus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"pleoticus muelleri","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"pleoticus robustus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"plesionika edwardsii","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"plesionika martia","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"protrachypene precipua","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"sclerocrangon","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"sergestidae","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30617,"sicyonia brevirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"sicyonia ingentis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"solenocera agassizii","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"trachysalambria curvirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"xiphopenaeus kroyeri","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
30617,"crangonidae","broad_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine.diadromous"
30626,"crangon crangon","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","",NA,"marine"
30626,"pandalus borealis","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus goniurus","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus hypsinotus","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus jordani","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus kessleri","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus montagui","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"pandalus platyceros","explicit_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine"
30626,"crangonidae","broad_taxa_match","HS12","crustaceans; not frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","",NA,"marine"
30627,"acetes erythraeus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
